OFFICIAL_GENE_SYMBOL	Name	Species
ACTN2	actinin alpha 2(ACTN2)	Homo sapiens
RNF38	ring finger protein 38(RNF38)	Homo sapiens
TNK1	tyrosine kinase non receptor 1(TNK1)	Homo sapiens
ZNF534	zinc finger protein 534(ZNF534)	Homo sapiens
MSH2	mutS homolog 2(MSH2)	Homo sapiens
MFSD12	major facilitator superfamily domain containing 12(MFSD12)	Homo sapiens
GIPC3	GIPC PDZ domain containing family member 3(GIPC3)	Homo sapiens
CCM2	CCM2 scaffolding protein(CCM2)	Homo sapiens
ZNF578	zinc finger protein 578(ZNF578)	Homo sapiens
ADCY2	adenylate cyclase 2(ADCY2)	Homo sapiens
WNK1	WNK lysine deficient protein kinase 1(WNK1)	Homo sapiens
XKR6	XK related 6(XKR6)	Homo sapiens
JSRP1	junctional sarcoplasmic reticulum protein 1(JSRP1)	Homo sapiens
ADCYAP1	adenylate cyclase activating polypeptide 1(ADCYAP1)	Homo sapiens
LOC105378349	uncharacterized LOC105378349(LOC105378349)	Homo sapiens
RNMT	RNA guanine-7 methyltransferase(RNMT)	Homo sapiens
TUBB2B	tubulin beta 2B class IIb(TUBB2B)	Homo sapiens
NOC2L	NOC2 like nucleolar associated transcriptional repressor(NOC2L)	Homo sapiens
MAPT-AS1	MAPT antisense RNA 1(MAPT-AS1)	Homo sapiens
ADORA3	adenosine A3 receptor(ADORA3)	Homo sapiens
MYO1F	myosin IF(MYO1F)	Homo sapiens
PARP1	poly(ADP-ribose) polymerase 1(PARP1)	Homo sapiens
MTIF2	mitochondrial translational initiation factor 2(MTIF2)	Homo sapiens
LINCMD1	long intergenic non-protein coding RNA, muscle differentiation 1(LINCMD1)	Homo sapiens
MTM1	myotubularin 1(MTM1)	Homo sapiens
ADRA2C	adrenoceptor alpha 2C(ADRA2C)	Homo sapiens
MTHFR	methylenetetrahydrofolate reductase(MTHFR)	Homo sapiens
IFT172	intraflagellar transport 172(IFT172)	Homo sapiens
GSTA7P	glutathione S-transferase alpha 7, pseudogene(GSTA7P)	Homo sapiens
IFT43	intraflagellar transport 43(IFT43)	Homo sapiens
STX1B	syntaxin 1B(STX1B)	Homo sapiens
MTAP	methylthioadenosine phosphorylase(MTAP)	Homo sapiens
GIMAP1-GIMAP5	GIMAP1-GIMAP5 readthrough(GIMAP1-GIMAP5)	Homo sapiens
UCK1	uridine-cytidine kinase 1(UCK1)	Homo sapiens
AP1G2	adaptor related protein complex 1 gamma 2 subunit(AP1G2)	Homo sapiens
LOC105447645	uncharacterized LOC105447645(LOC105447645)	Homo sapiens
AFP	alpha fetoprotein(AFP)	Homo sapiens
LOC400682	zinc finger protein 100-like(LOC400682)	Homo sapiens
HSPB6	heat shock protein family B (small) member 6(HSPB6)	Homo sapiens
RTBDN	retbindin(RTBDN)	Homo sapiens
PRPF4B	pre-mRNA processing factor 4B(PRPF4B)	Homo sapiens
AP2A2	adaptor related protein complex 2 alpha 2 subunit(AP2A2)	Homo sapiens
AES	amino-terminal enhancer of split(AES)	Homo sapiens
NUP210L	nucleoporin 210 like(NUP210L)	Homo sapiens
MT1B	metallothionein 1B(MT1B)	Homo sapiens
MT1A	metallothionein 1A(MT1A)	Homo sapiens
PLD4	phospholipase D family member 4(PLD4)	Homo sapiens
MT1F	metallothionein 1F(MT1F)	Homo sapiens
ZNF252P-AS1	ZNF252P antisense RNA 1(ZNF252P-AS1)	Homo sapiens
PMF1-BGLAP	PMF1-BGLAP readthrough(PMF1-BGLAP)	Homo sapiens
ZNF252P	zinc finger protein 252, pseudogene(ZNF252P)	Homo sapiens
TTLL3	tubulin tyrosine ligase like 3(TTLL3)	Homo sapiens
OR1I1	olfactory receptor family 1 subfamily I member 1(OR1I1)	Homo sapiens
MST1R	macrophage stimulating 1 receptor(MST1R)	Homo sapiens
MSX1	msh homeobox 1(MSX1)	Homo sapiens
TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein(TRPC4AP)	Homo sapiens
SGPL1	sphingosine-1-phosphate lyase 1(SGPL1)	Homo sapiens
SPATS2	spermatogenesis associated serine rich 2(SPATS2)	Homo sapiens
PAX8-AS1	PAX8 antisense RNA 1(PAX8-AS1)	Homo sapiens
LOC100505782	uncharacterized LOC100505782(LOC100505782)	Homo sapiens
PPP1R42	protein phosphatase 1 regulatory subunit 42(PPP1R42)	Homo sapiens
ATXN1L	ataxin 1 like(ATXN1L)	Homo sapiens
FBXL6	F-box and leucine rich repeat protein 6(FBXL6)	Homo sapiens
MUC3A	mucin 3A, cell surface associated(MUC3A)	Homo sapiens
FBXL5	F-box and leucine rich repeat protein 5(FBXL5)	Homo sapiens
ALDH1B1	aldehyde dehydrogenase 1 family member B1(ALDH1B1)	Homo sapiens
B3GAT3	beta-1,3-glucuronyltransferase 3(B3GAT3)	Homo sapiens
MUC1	mucin 1, cell surface associated(MUC1)	Homo sapiens
CFAP157	cilia and flagella associated protein 157(CFAP157)	Homo sapiens
CPSF4L	cleavage and polyadenylation specific factor 4 like(CPSF4L)	Homo sapiens
CCL28	C-C motif chemokine ligand 28(CCL28)	Homo sapiens
PROM1	prominin 1(PROM1)	Homo sapiens
LINC00526	long intergenic non-protein coding RNA 526(LINC00526)	Homo sapiens
WISP2	WNT1 inducible signaling pathway protein 2(WISP2)	Homo sapiens
DOHH	deoxyhypusine hydroxylase/monooxygenase(DOHH)	Homo sapiens
ALDOA	aldolase, fructose-bisphosphate A(ALDOA)	Homo sapiens
ALDH3A2	aldehyde dehydrogenase 3 family member A2(ALDH3A2)	Homo sapiens
ALPP	alkaline phosphatase, placental(ALPP)	Homo sapiens
NIPBL-AS1	NIPBL antisense RNA 1 (head to head)(NIPBL-AS1)	Homo sapiens
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase(MTRR)	Homo sapiens
PDDC1	Parkinson disease 7 domain containing 1(PDDC1)	Homo sapiens
ALOX15	arachidonate 15-lipoxygenase(ALOX15)	Homo sapiens
ALOX15B	arachidonate 15-lipoxygenase, type B(ALOX15B)	Homo sapiens
RINL	Ras and Rab interactor like(RINL)	Homo sapiens
ALOX12B	arachidonate 12-lipoxygenase, 12R type(ALOX12B)	Homo sapiens
ALOX5	arachidonate 5-lipoxygenase(ALOX5)	Homo sapiens
CLDN2	claudin 2(CLDN2)	Homo sapiens
CLDN6	claudin 6(CLDN6)	Homo sapiens
LDB2	LIM domain binding 2(LDB2)	Homo sapiens
SRGAP2B	SLIT-ROBO Rho GTPase activating protein 2B(SRGAP2B)	Homo sapiens
SAR1A	secretion associated Ras related GTPase 1A(SAR1A)	Homo sapiens
CLDN9	claudin 9(CLDN9)	Homo sapiens
TMSB4Y	thymosin beta 4, Y-linked(TMSB4Y)	Homo sapiens
ANGPT2	angiopoietin 2(ANGPT2)	Homo sapiens
ENO1-AS1	ENO1 antisense RNA 1(ENO1-AS1)	Homo sapiens
MAZ	MYC associated zinc finger protein(MAZ)	Homo sapiens
SYCE2	synaptonemal complex central element protein 2(SYCE2)	Homo sapiens
PHACTR1	phosphatase and actin regulator 1(PHACTR1)	Homo sapiens
MIR487A	microRNA 487a(MIR487A)	Homo sapiens
OR4F15	olfactory receptor family 4 subfamily F member 15(OR4F15)	Homo sapiens
AMPD1	adenosine monophosphate deaminase 1(AMPD1)	Homo sapiens
CDCA5	cell division cycle associated 5(CDCA5)	Homo sapiens
AMPD2	adenosine monophosphate deaminase 2(AMPD2)	Homo sapiens
SNORA7A	small nucleolar RNA, H/ACA box 7A(SNORA7A)	Homo sapiens
RNF182	ring finger protein 182(RNF182)	Homo sapiens
C19orf70	chromosome 19 open reading frame 70(C19orf70)	Homo sapiens
UGT3A2	UDP glycosyltransferase family 3 member A2(UGT3A2)	Homo sapiens
MAP7	microtubule associated protein 7(MAP7)	Homo sapiens
MAGEA12	MAGE family member A12(MAGEA12)	Homo sapiens
TRIM39	tripartite motif containing 39(TRIM39)	Homo sapiens
KDM1B	lysine demethylase 1B(KDM1B)	Homo sapiens
LINC00545	long intergenic non-protein coding RNA 545(LINC00545)	Homo sapiens
MAK	male germ cell associated kinase(MAK)	Homo sapiens
RBM24	RNA binding motif protein 24(RBM24)	Homo sapiens
KCNK12	potassium two pore domain channel subfamily K member 12(KCNK12)	Homo sapiens
MUC13	mucin 13, cell surface associated(MUC13)	Homo sapiens
LOC285696	uncharacterized LOC285696(LOC285696)	Homo sapiens
HDAC10	histone deacetylase 10(HDAC10)	Homo sapiens
VTRNA1-1	vault RNA 1-1(VTRNA1-1)	Homo sapiens
ZNF813	zinc finger protein 813(ZNF813)	Homo sapiens
MDK	midkine (neurite growth-promoting factor 2)(MDK)	Homo sapiens
FAM98C	family with sequence similarity 98 member C(FAM98C)	Homo sapiens
APOE	apolipoprotein E(APOE)	Homo sapiens
SLC25A2	solute carrier family 25 member 2(SLC25A2)	Homo sapiens
DIABLO	diablo IAP-binding mitochondrial protein(DIABLO)	Homo sapiens
ZNF830	zinc finger protein 830(ZNF830)	Homo sapiens
APBB2	amyloid beta precursor protein binding family B member 2(APBB2)	Homo sapiens
MEOX1	mesenchyme homeobox 1(MEOX1)	Homo sapiens
CHST6	carbohydrate sulfotransferase 6(CHST6)	Homo sapiens
TEC	transient erythroblastopenia of childhood(TEC)	Homo sapiens
MCM3	minichromosome maintenance complex component 3(MCM3)	Homo sapiens
HSPB3	heat shock protein family B (small) member 3(HSPB3)	Homo sapiens
SWSAP1	SWIM-type zinc finger 7 associated protein 1(SWSAP1)	Homo sapiens
IQSEC3	IQ motif and Sec7 domain 3(IQSEC3)	Homo sapiens
AQP3	aquaporin 3 (Gill blood group)(AQP3)	Homo sapiens
FAM66C	family with sequence similarity 66 member C(FAM66C)	Homo sapiens
ZNF705A	zinc finger protein 705A(ZNF705A)	Homo sapiens
C7orf73	chromosome 7 open reading frame 73(C7orf73)	Homo sapiens
ARSB	arylsulfatase B(ARSB)	Homo sapiens
C6orf136	chromosome 6 open reading frame 136(C6orf136)	Homo sapiens
MID1	midline 1(MID1)	Homo sapiens
ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog(ATP23)	Homo sapiens
DEDD	death effector domain containing(DEDD)	Homo sapiens
TOPORS-AS1	TOPORS antisense RNA 1(TOPORS-AS1)	Homo sapiens
PA2G4P4	proliferation-associated 2G4 pseudogene 4(PA2G4P4)	Homo sapiens
ASGR2	asialoglycoprotein receptor 2(ASGR2)	Homo sapiens
C6orf132	chromosome 6 open reading frame 132(C6orf132)	Homo sapiens
RPL7L1	ribosomal protein L7 like 1(RPL7L1)	Homo sapiens
LOC100506076	uncharacterized LOC100506076(LOC100506076)	Homo sapiens
COX7A2L	cytochrome c oxidase subunit 7A2 like(COX7A2L)	Homo sapiens
MELTF	melanotransferrin(MELTF)	Homo sapiens
LOC171391	uncharacterized LOC171391(LOC171391)	Homo sapiens
ILF3-AS1	ILF3 antisense RNA 1 (head to head)(ILF3-AS1)	Homo sapiens
BARHL1	BarH like homeobox 1(BARHL1)	Homo sapiens
LRP1-AS	LRP1 antisense RNA(LRP1-AS)	Homo sapiens
RBP5	retinol binding protein 5(RBP5)	Homo sapiens
NTN5	netrin 5(NTN5)	Homo sapiens
LINC00293	long intergenic non-protein coding RNA 293(LINC00293)	Homo sapiens
MPI	mannose phosphate isomerase(MPI)	Homo sapiens
ZNF784	zinc finger protein 784(ZNF784)	Homo sapiens
KCNQ4	potassium voltage-gated channel subfamily Q member 4(KCNQ4)	Homo sapiens
ZNF774	zinc finger protein 774(ZNF774)	Homo sapiens
FAM57B	family with sequence similarity 57 member B(FAM57B)	Homo sapiens
MLLT3	MLLT3, super elongation complex subunit(MLLT3)	Homo sapiens
KMT2A	lysine methyltransferase 2A(KMT2A)	Homo sapiens
MLLT1	MLLT1, super elongation complex subunit(MLLT1)	Homo sapiens
RGN	regucalcin(RGN)	Homo sapiens
FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)(FCGR2C)	Homo sapiens
ITCH	itchy E3 ubiquitin protein ligase(ITCH)	Homo sapiens
USP14	ubiquitin specific peptidase 14(USP14)	Homo sapiens
NLRP5	NLR family pyrin domain containing 5(NLRP5)	Homo sapiens
DNAJA3	DnaJ heat shock protein family (Hsp40) member A3(DNAJA3)	Homo sapiens
ARPIN	actin-related protein 2/3 complex inhibitor(ARPIN)	Homo sapiens
ATP1A4	ATPase Na+/K+ transporting subunit alpha 4(ATP1A4)	Homo sapiens
MSTO2P	misato family member 2, pseudogene(MSTO2P)	Homo sapiens
NPR2	natriuretic peptide receptor 2(NPR2)	Homo sapiens
NPR3	natriuretic peptide receptor 3(NPR3)	Homo sapiens
FAM187B	family with sequence similarity 187 member B(FAM187B)	Homo sapiens
LOC390877	adenylate kinase isoenzyme 1-like(LOC390877)	Homo sapiens
AXL	AXL receptor tyrosine kinase(AXL)	Homo sapiens
PPP1R35	protein phosphatase 1 regulatory subunit 35(PPP1R35)	Homo sapiens
C14orf93	chromosome 14 open reading frame 93(C14orf93)	Homo sapiens
GPR108	G protein-coupled receptor 108(GPR108)	Homo sapiens
MIR4268	microRNA 4268(MIR4268)	Homo sapiens
CELF5	CUGBP, Elav-like family member 5(CELF5)	Homo sapiens
SEMA3G	semaphorin 3G(SEMA3G)	Homo sapiens
ZSCAN5B	zinc finger and SCAN domain containing 5B(ZSCAN5B)	Homo sapiens
NPY6R	neuropeptide Y receptor Y6 (pseudogene)(NPY6R)	Homo sapiens
LOC100506207	uncharacterized LOC100506207(LOC100506207)	Homo sapiens
MIR4263	microRNA 4263(MIR4263)	Homo sapiens
LINC00862	long intergenic non-protein coding RNA 862(LINC00862)	Homo sapiens
TKTL1	transketolase like 1(TKTL1)	Homo sapiens
MIR3179-1	microRNA 3179-1(MIR3179-1)	Homo sapiens
MIR5089	microRNA 5089(MIR5089)	Homo sapiens
SLC10A3	solute carrier family 10 member 3(SLC10A3)	Homo sapiens
BAG1	BCL2 associated athanogene 1(BAG1)	Homo sapiens
FAM72C	family with sequence similarity 72 member C(FAM72C)	Homo sapiens
MIR2909	microRNA 2909(MIR2909)	Homo sapiens
LINC00963	long intergenic non-protein coding RNA 963(LINC00963)	Homo sapiens
C19orf81	chromosome 19 open reading frame 81(C19orf81)	Homo sapiens
PROSER3	proline and serine rich 3(PROSER3)	Homo sapiens
MIR1302-11	microRNA 1302-11(MIR1302-11)	Homo sapiens
ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit(ATP5D)	Homo sapiens
DYSF	dysferlin(DYSF)	Homo sapiens
NUCB1	nucleobindin 1(NUCB1)	Homo sapiens
SLC24A2	solute carrier family 24 member 2(SLC24A2)	Homo sapiens
NTSR1	neurotensin receptor 1(NTSR1)	Homo sapiens
ZKSCAN4	zinc finger with KRAB and SCAN domains 4(ZKSCAN4)	Homo sapiens
ACOX3	acyl-CoA oxidase 3, pristanoyl(ACOX3)	Homo sapiens
MIR4304	microRNA 4304(MIR4304)	Homo sapiens
MSMP	microseminoprotein, prostate associated(MSMP)	Homo sapiens
DUSP22	dual specificity phosphatase 22(DUSP22)	Homo sapiens
SNORD49B	small nucleolar RNA, C/D box 49B(SNORD49B)	Homo sapiens
MIR5187	microRNA 5187(MIR5187)	Homo sapiens
LOC100129345	uncharacterized LOC100129345(LOC100129345)	Homo sapiens
HCN2	hyperpolarization activated cyclic nucleotide gated potassium channel 2(HCN2)	Homo sapiens
PLA2G4B	phospholipase A2 group IVB(PLA2G4B)	Homo sapiens
ODC1	ornithine decarboxylase 1(ODC1)	Homo sapiens
MIR4258	microRNA 4258(MIR4258)	Homo sapiens
KLHDC9	kelch domain containing 9(KLHDC9)	Homo sapiens
IFNK	interferon kappa(IFNK)	Homo sapiens
C11orf65	chromosome 11 open reading frame 65(C11orf65)	Homo sapiens
MIR4321	microRNA 4321(MIR4321)	Homo sapiens
BIK	BCL2 interacting killer(BIK)	Homo sapiens
LOC100506123	uncharacterized LOC100506123(LOC100506123)	Homo sapiens
ARIH1	ariadne RBR E3 ubiquitin protein ligase 1(ARIH1)	Homo sapiens
MIR5695	microRNA 5695(MIR5695)	Homo sapiens
MIR5585	microRNA 5585(MIR5585)	Homo sapiens
MIR4314	microRNA 4314(MIR4314)	Homo sapiens
MIR5091	microRNA 5091(MIR5091)	Homo sapiens
NIPBL	NIPBL, cohesin loading factor(NIPBL)	Homo sapiens
PUSL1	pseudouridylate synthase-like 1(PUSL1)	Homo sapiens
PP7080	uncharacterized LOC25845(PP7080)	Homo sapiens
MIR5001	microRNA 5001(MIR5001)	Homo sapiens
BCL2L2	BCL2 like 2(BCL2L2)	Homo sapiens
MIR4257	microRNA 4257(MIR4257)	Homo sapiens
HIST2H4B	histone cluster 2 H4 family member b(HIST2H4B)	Homo sapiens
NIPAL1	NIPA like domain containing 1(NIPAL1)	Homo sapiens
DCAF12	DDB1 and CUL4 associated factor 12(DCAF12)	Homo sapiens
MIR3179-3	microRNA 3179-3(MIR3179-3)	Homo sapiens
CAPN12	calpain 12(CAPN12)	Homo sapiens
OXCT1	3-oxoacid CoA-transferase 1(OXCT1)	Homo sapiens
SUN3	Sad1 and UNC84 domain containing 3(SUN3)	Homo sapiens
BSG	basigin (Ok blood group)(BSG)	Homo sapiens
HIF1A-AS2	HIF1A antisense RNA 2(HIF1A-AS2)	Homo sapiens
SMDT1	single-pass membrane protein with aspartate rich tail 1(SMDT1)	Homo sapiens
FAM231B	family with sequence similarity 231 member B(FAM231B)	Homo sapiens
OBP2A	odorant binding protein 2A(OBP2A)	Homo sapiens
SLC17A7	solute carrier family 17 member 7(SLC17A7)	Homo sapiens
HOXA-AS3	HOXA cluster antisense RNA 3(HOXA-AS3)	Homo sapiens
SLC39A3	solute carrier family 39 member 3(SLC39A3)	Homo sapiens
OR1F1	olfactory receptor family 1 subfamily F member 1(OR1F1)	Homo sapiens
OR2C1	olfactory receptor family 2 subfamily C member 1(OR2C1)	Homo sapiens
BMP7	bone morphogenetic protein 7(BMP7)	Homo sapiens
BMP6	bone morphogenetic protein 6(BMP6)	Homo sapiens
TMEM178A	transmembrane protein 178A(TMEM178A)	Homo sapiens
ANO9	anoctamin 9(ANO9)	Homo sapiens
MIR4276	microRNA 4276(MIR4276)	Homo sapiens
CMAHP	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene(CMAHP)	Homo sapiens
BPHL	biphenyl hydrolase like(BPHL)	Homo sapiens
STRN3	striatin 3(STRN3)	Homo sapiens
TMEM106A	transmembrane protein 106A(TMEM106A)	Homo sapiens
MYADM	myeloid associated differentiation marker(MYADM)	Homo sapiens
TICAM1	toll like receptor adaptor molecule 1(TICAM1)	Homo sapiens
NSMAF	neutral sphingomyelinase activation associated factor(NSMAF)	Homo sapiens
TINCR	tissue differentiation-inducing non-protein coding RNA(TINCR)	Homo sapiens
FAM212B-AS1	FAM212B antisense RNA 1(FAM212B-AS1)	Homo sapiens
FAM160B2	family with sequence similarity 160 member B2(FAM160B2)	Homo sapiens
PSMG2	proteasome assembly chaperone 2(PSMG2)	Homo sapiens
HIST1H2AI	histone cluster 1 H2A family member i(HIST1H2AI)	Homo sapiens
HIST1H2AB	histone cluster 1 H2A family member b(HIST1H2AB)	Homo sapiens
HIST1H2AL	histone cluster 1 H2A family member l(HIST1H2AL)	Homo sapiens
ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1(ATPAF1)	Homo sapiens
HIST2H3C	histone cluster 2 H3 family member c(HIST2H3C)	Homo sapiens
TNS3	tensin 3(TNS3)	Homo sapiens
SNORD65	small nucleolar RNA, C/D box 65(SNORD65)	Homo sapiens
HIST1H2BE	histone cluster 1 H2B family member e(HIST1H2BE)	Homo sapiens
CEACAM19	carcinoembryonic antigen related cell adhesion molecule 19(CEACAM19)	Homo sapiens
RXFP2	relaxin/insulin like family peptide receptor 2(RXFP2)	Homo sapiens
ADAT3	adenosine deaminase, tRNA specific 3(ADAT3)	Homo sapiens
HIST1H3A	histone cluster 1 H3 family member a(HIST1H3A)	Homo sapiens
SCAMP4	secretory carrier membrane protein 4(SCAMP4)	Homo sapiens
HIST1H3D	histone cluster 1 H3 family member d(HIST1H3D)	Homo sapiens
LDLRAD4	low density lipoprotein receptor class A domain containing 4(LDLRAD4)	Homo sapiens
MPPED1	metallophosphoesterase domain containing 1(MPPED1)	Homo sapiens
HTT-AS	HTT antisense RNA (head to head)(HTT-AS)	Homo sapiens
HIST1H2BF	histone cluster 1 H2B family member f(HIST1H2BF)	Homo sapiens
HIST1H2BL	histone cluster 1 H2B family member l(HIST1H2BL)	Homo sapiens
WDR13	WD repeat domain 13(WDR13)	Homo sapiens
HIST1H4F	histone cluster 1 H4 family member f(HIST1H4F)	Homo sapiens
CCNL1	cyclin L1(CCNL1)	Homo sapiens
HIST1H4D	histone cluster 1 H4 family member d(HIST1H4D)	Homo sapiens
PCNT	pericentrin(PCNT)	Homo sapiens
HIST1H4C	histone cluster 1 H4 family member c(HIST1H4C)	Homo sapiens
HIST1H4E	histone cluster 1 H4 family member e(HIST1H4E)	Homo sapiens
C3	complement C3(C3)	Homo sapiens
HIST1H4B	histone cluster 1 H4 family member b(HIST1H4B)	Homo sapiens
HIST1H3H	histone cluster 1 H3 family member h(HIST1H3H)	Homo sapiens
HIST1H4A	histone cluster 1 H4 family member a(HIST1H4A)	Homo sapiens
SERPINB9P1	serpin family B member 9 pseudogene 1(SERPINB9P1)	Homo sapiens
HIST1H3B	histone cluster 1 H3 family member b(HIST1H3B)	Homo sapiens
PDIA2	protein disulfide isomerase family A member 2(PDIA2)	Homo sapiens
GNPDA2	glucosamine-6-phosphate deaminase 2(GNPDA2)	Homo sapiens
C16orf90	chromosome 16 open reading frame 90(C16orf90)	Homo sapiens
PCDH7	protocadherin 7(PCDH7)	Homo sapiens
HIST2H4A	histone cluster 2 H4 family member a(HIST2H4A)	Homo sapiens
PCBD1	pterin-4 alpha-carbinolamine dehydratase 1(PCBD1)	Homo sapiens
LINC01011	long intergenic non-protein coding RNA 1011(LINC01011)	Homo sapiens
HTATSF1P2	HIV-1 Tat specific factor 1 pseudogene 2(HTATSF1P2)	Homo sapiens
PITPNM3	PITPNM family member 3(PITPNM3)	Homo sapiens
CPZ	carboxypeptidase Z(CPZ)	Homo sapiens
TBC1D10B	TBC1 domain family member 10B(TBC1D10B)	Homo sapiens
L3MBTL1	l(3)mbt-like 1 (Drosophila)(L3MBTL1)	Homo sapiens
ARL9	ADP ribosylation factor like GTPase 9(ARL9)	Homo sapiens
GADD45B	growth arrest and DNA damage inducible beta(GADD45B)	Homo sapiens
CAMK1	calcium/calmodulin dependent protein kinase I(CAMK1)	Homo sapiens
CALM2	calmodulin 2(CALM2)	Homo sapiens
CALD1	caldesmon 1(CALD1)	Homo sapiens
KRT23	keratin 23(KRT23)	Homo sapiens
TSKU	tsukushi, small leucine rich proteoglycan(TSKU)	Homo sapiens
S100A16	S100 calcium binding protein A16(S100A16)	Homo sapiens
UGDH-AS1	UGDH antisense RNA 1(UGDH-AS1)	Homo sapiens
CLIP3	CAP-Gly domain containing linker protein 3(CLIP3)	Homo sapiens
DGKE	diacylglycerol kinase epsilon(DGKE)	Homo sapiens
MYL4	myosin light chain 4(MYL4)	Homo sapiens
LINC01234	long intergenic non-protein coding RNA 1234(LINC01234)	Homo sapiens
FAM110C	family with sequence similarity 110 member C(FAM110C)	Homo sapiens
FAM219B	family with sequence similarity 219 member B(FAM219B)	Homo sapiens
DENR	density regulated re-initiation and release factor(DENR)	Homo sapiens
BPESC1	blepharophimosis, epicanthus inversus and ptosis, candidate 1 (non-protein coding)(BPESC1)	Homo sapiens
MYO10	myosin X(MYO10)	Homo sapiens
SETBP1	SET binding protein 1(SETBP1)	Homo sapiens
TCF7L1	transcription factor 7 like 1(TCF7L1)	Homo sapiens
MYO7B	myosin VIIB(MYO7B)	Homo sapiens
MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5(MAPKAPK5)	Homo sapiens
ATP10D	ATPase phospholipid transporting 10D (putative)(ATP10D)	Homo sapiens
TBC1D15	TBC1 domain family member 15(TBC1D15)	Homo sapiens
FAM32A	family with sequence similarity 32 member A(FAM32A)	Homo sapiens
CA9	carbonic anhydrase 9(CA9)	Homo sapiens
EPS8L2	EPS8 like 2(EPS8L2)	Homo sapiens
DDR1	discoidin domain receptor tyrosine kinase 1(DDR1)	Homo sapiens
NACA	nascent polypeptide-associated complex alpha subunit(NACA)	Homo sapiens
CEP85	centrosomal protein 85(CEP85)	Homo sapiens
NAB1	NGFI-A binding protein 1(NAB1)	Homo sapiens
LIFR-AS1	LIFR antisense RNA 1(LIFR-AS1)	Homo sapiens
CCIN	calicin(CCIN)	Homo sapiens
EPN1	epsin 1(EPN1)	Homo sapiens
GMPPB	GDP-mannose pyrophosphorylase B(GMPPB)	Homo sapiens
CCKBR	cholecystokinin B receptor(CCKBR)	Homo sapiens
